Dose strength,Rain,Rain_Above_3,mean_12,Above_15_percent_mean_12h,Above_5_percent_mean_12h,slide_dose
0.0895,0.0,False,0.08755,False,False,False
0.0882,0.0,False,0.08755,False,False,False
0.09,0.0,False,0.08825,False,False,False
0.0884,0.0,False,0.08825,False,False,False
0.0875,0.0,False,0.08825,False,False,False
0.0905,0.0,False,0.08825,False,False,False
0.0896,0.0,False,0.08825,False,False,False
0.0895,0.0,False,0.08825,False,False,False
0.0894,0.0,False,0.08825,False,False,False
0.088,0.0,False,0.08825,False,False,False
0.0878,0.0,False,0.08825,False,False,False
0.0861,0.0,False,0.08825,False,False,False
0.0863,0.0,False,0.08825,False,False,False
0.0859,0.0,False,0.08825,False,False,False
0.087,0.0,False,0.08873333333333333,False,False,False
0.0897,0.0,False,0.08873333333333333,False,False,False
0.0859,0.0,False,0.08873333333333333,False,False,False
0.0894,0.0,False,0.08873333333333333,False,False,False
0.0918,0.0,False,0.08873333333333333,False,False,False
0.089,0.0,False,0.08873333333333333,False,False,False
0.0897,0.0,False,0.08873333333333333,False,False,False
0.0863,0.0,False,0.08873333333333333,False,False,False
0.0901,0.0,False,0.08873333333333333,False,False,False
0.0895,0.0,False,0.08873333333333333,False,False,False
0.0867,0.0,False,0.08873333333333333,False,False,False
0.0897,0.0,False,0.08873333333333333,False,False,False
0.0884,0.0,False,0.0896,False,False,False
0.0874,0.0,False,0.0896,False,False,False
0.0901,0.0,False,0.0896,False,False,False
0.0893,0.0,False,0.0896,False,False,False
0.0883,0.0,False,0.0896,False,False,False
0.0894,0.0,False,0.0896,False,False,False
0.0899,0.0,False,0.0896,False,False,False
0.0926,0.3,False,0.0896,False,False,False
0.0889,0.0,False,0.0896,False,False,False
0.0878,0.0,False,0.0896,False,False,False
0.0918,0.0,False,0.0896,False,False,False
0.0913,0.1,False,0.0896,False,False,False
0.0906,0.0,False,0.09019166666666667,False,False,False
0.0943,1.3,False,0.09019166666666667,False,False,False
0.0941,0.0,False,0.09019166666666667,False,False,False
0.0914,0.1,False,0.09019166666666667,False,False,False
0.0947,0.4,False,0.09019166666666667,False,False,False
0.0899,0.0,False,0.09019166666666667,False,False,False
0.0889,0.0,False,0.09019166666666667,False,False,False
0.0881,0.0,False,0.09019166666666667,False,False,False
0.0845,0.0,False,0.09019166666666667,False,False,False
0.0912,0.0,False,0.09019166666666667,False,False,False
0.0889,0.0,False,0.09019166666666667,False,False,False
0.0857,0.0,False,0.09019166666666667,False,False,False
0.0897,0.0,False,0.088825,False,False,False
0.0866,0.0,False,0.088825,False,False,False
0.0896,0.0,False,0.088825,False,False,False
0.0885,0.0,False,0.088825,False,False,False
0.0886,0.0,False,0.088825,False,False,False
0.088,0.0,False,0.088825,False,False,False
0.0886,0.0,False,0.088825,False,False,False
0.0886,0.0,False,0.088825,False,False,False
0.0889,0.0,False,0.088825,False,False,False
0.0889,0.0,False,0.088825,False,False,False
0.0898,0.0,False,0.088825,False,False,False
0.0901,0.0,False,0.088825,False,False,False
0.089,0.0,False,0.08941666666666666,False,False,False
0.0903,0.0,False,0.08941666666666666,False,False,False
0.0897,0.0,False,0.08941666666666666,False,False,False
0.0877,0.0,False,0.08941666666666666,False,False,False
0.089,0.0,False,0.08941666666666666,False,False,False
0.0911,0.0,False,0.08941666666666666,False,False,False
0.0873,0.0,False,0.08941666666666666,False,False,False
0.0892,0.0,False,0.08941666666666666,False,False,False
0.0896,0.0,False,0.08941666666666666,False,False,False
0.0906,0.0,False,0.08941666666666666,False,False,False
0.0906,0.0,False,0.08941666666666666,False,False,False
0.0889,0.5,False,0.08941666666666666,False,False,False
0.0931,0.1,False,0.08975,False,False,False
0.089,0.0,False,0.08975,False,False,False
0.0899,0.0,False,0.08975,False,False,False
0.0891,0.0,False,0.08975,False,False,False
0.0885,0.0,False,0.08975,False,False,False
0.0875,0.0,False,0.08975,False,False,False
0.0887,0.0,False,0.08975,False,False,False
0.0881,0.0,False,0.08975,False,False,False
0.0928,0.0,False,0.08975,False,False,False
0.0896,0.0,False,0.08975,False,False,False
0.092,0.0,False,0.08975,False,False,False
0.0887,0.0,False,0.08975,False,False,False
0.0902,0.1,False,0.08838333333333333,False,False,False
0.089,0.0,False,0.08838333333333333,False,False,False
0.0864,0.0,False,0.08838333333333333,False,False,False
0.085,0.0,False,0.08838333333333333,False,False,False
0.0885,0.1,False,0.08838333333333333,False,False,False
0.0903,0.0,False,0.08838333333333333,False,False,False
0.0908,0.0,False,0.08838333333333333,False,False,False
0.0873,0.0,False,0.08838333333333333,False,False,False
0.0883,0.0,False,0.08838333333333333,False,False,False
0.0879,0.0,False,0.08838333333333333,False,False,False
0.0919,0.1,False,0.08838333333333333,False,False,False
0.085,0.0,False,0.08838333333333333,False,False,False
0.0883,0.0,False,0.08791666666666666,False,False,False
0.0889,0.0,False,0.08791666666666666,False,False,False
0.0884,0.0,False,0.08791666666666666,False,False,False
0.0878,0.0,False,0.08791666666666666,False,False,False
0.0862,0.0,False,0.08791666666666666,False,False,False
0.088,0.0,False,0.08791666666666666,False,False,False
0.0868,0.0,False,0.08791666666666666,False,False,False
0.091,0.0,False,0.08791666666666666,False,False,False
0.0863,0.0,False,0.08791666666666666,False,False,False
0.0881,0.0,False,0.08791666666666666,False,False,False
0.0896,0.0,False,0.08791666666666666,False,False,False
0.0856,0.0,False,0.08791666666666666,False,False,False
0.0896,0.0,False,0.08920833333333333,False,False,False
0.0887,0.0,False,0.08920833333333333,False,False,False
0.0899,0.0,False,0.08920833333333333,False,False,False
0.0898,0.0,False,0.08920833333333333,False,False,False
0.0887,0.0,False,0.08920833333333333,False,False,False
0.0884,0.0,False,0.08920833333333333,False,False,False
0.0888,0.0,False,0.08920833333333333,False,False,False
0.0884,0.0,False,0.08920833333333333,False,False,False
0.0888,0.0,False,0.08920833333333333,False,False,False
0.0915,0.0,False,0.08920833333333333,False,False,False
0.0887,0.0,False,0.08920833333333333,False,False,False
0.0892,0.0,False,0.08920833333333333,False,False,False
0.0908,0.9,False,0.09091666666666666,False,False,False
0.0941,0.9,False,0.09091666666666666,False,False,False
0.095,1.0,False,0.09091666666666666,False,False,False
0.0917,0.3,False,0.09091666666666666,False,False,False
0.0913,0.0,False,0.09091666666666666,False,False,False
0.0902,0.0,False,0.09091666666666666,False,False,False
0.0898,1.1,False,0.09091666666666666,False,False,False
0.0881,0.2,False,0.09091666666666666,False,False,False
0.0891,0.1,False,0.09091666666666666,False,False,False
0.0896,0.5,False,0.09091666666666666,False,False,False
0.0902,0.8,False,0.09091666666666666,False,False,False
0.0911,0.1,False,0.09091666666666666,False,False,False
0.0897,0.0,False,0.089575,False,False,False
0.0905,0.2,False,0.089575,False,False,False
0.0895,0.3,False,0.089575,False,False,False
0.0902,0.1,False,0.089575,False,False,False
0.0912,0.0,False,0.089575,False,False,False
0.0872,0.0,False,0.089575,False,False,False
0.0851,0.0,False,0.089575,False,False,False
0.0899,0.0,False,0.089575,False,False,False
