window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
4670,2020-05-24 00:00:00,2,0.146,2020-05-24 03:00:00,1,0.124,2020-05-24 00:00:00,2,2020-05-24 00:00:00,0.146,5,0.541
4684,2020-05-31 00:00:00,1,0.138,2020-05-31 08:00:00,3,0.134,2020-05-31 03:00:00,7,2020-05-31 07:00:00,0.156,29,0.7200000000000001
4695,2020-06-05 14:00:00,1,0.133,2020-06-05 18:00:00,4,0.138,2020-06-05 16:00:00,5,2020-06-05 17:00:00,0.153,13,0.7110000000000001
4727,2020-06-21 13:00:00,15,0.133,2020-06-21 17:00:00,2,0.127,2020-06-21 13:00:00,15,2020-06-21 14:00:00,0.133,17,0.503
4814,2020-08-04 03:00:00,1,0.127,2020-08-04 07:00:00,2,0.125,2020-08-04 04:00:00,3,2020-08-04 05:00:00,0.137,6,0.651
4839,2020-08-16 16:00:00,2,0.133,2020-08-16 20:00:00,2,0.133,2020-08-16 17:00:00,14,2020-08-16 17:00:00,0.156,19,0.7180000000000001
4844,2020-08-19 02:00:00,1,0.135,2020-08-19 04:00:00,1,0.132,2020-08-19 03:00:00,5,2020-08-19 03:00:00,0.135,7,0.267
4852,2020-08-23 02:00:00,4,0.124,2020-08-23 04:00:00,2,0.136,2020-08-23 02:00:00,4,2020-08-23 04:00:00,0.136,8,0.388
4870,2020-09-01 00:00:00,6,0.131,2020-09-01 04:00:00,3,0.135,2020-09-01 01:00:00,7,2020-09-01 02:00:00,0.147,19,0.6970000000000001
4871,2020-09-01 18:00:00,2,0.134,2020-09-01 21:00:00,12,0.135,2020-09-01 20:00:00,12,2020-09-01 20:00:00,0.147,18,0.41600000000000004
4880,2020-09-06 00:00:00,3,0.134,2020-09-06 02:00:00,4,0.141,2020-09-06 01:00:00,4,2020-09-06 01:00:00,0.145,7,0.42000000000000004
4926,2020-09-29 00:00:00,3,0.13,2020-09-29 03:00:00,1,0.132,2020-09-29 01:00:00,4,2020-09-29 01:00:00,0.145,8,0.549
4928,2020-09-30 00:00:00,1,0.132,2020-09-30 03:00:00,1,0.131,2020-09-30 01:00:00,2,2020-09-30 01:00:00,0.138,5,0.401
4987,2020-10-29 17:00:00,1,0.125,2020-10-29 20:00:00,2,0.122,2020-10-29 18:00:00,2,2020-10-29 18:00:00,0.133,3,0.504
5122,2021-01-05 01:00:00,1,0.15,2021-01-05 10:00:00,1,0.152,2021-01-05 02:00:00,2,2021-01-05 08:00:00,0.158,11,0.616
5352,2021-04-30 01:00:00,2,0.129,2021-04-30 04:00:00,2,0.14,2021-04-30 01:00:00,2,2021-04-30 04:00:00,0.14,2,0.54
5356,2021-05-02 05:00:00,4,0.129,2021-05-02 09:00:00,6,0.126,2021-05-02 06:00:00,6,2021-05-02 06:00:00,0.141,10,0.659
5402,2021-05-25 02:00:00,5,0.128,2021-05-25 04:00:00,3,0.125,2021-05-25 02:00:00,5,2021-05-25 03:00:00,0.138,8,0.391
5459,2021-06-22 17:00:00,14,0.131,2021-06-22 19:00:00,4,0.129,2021-06-22 17:00:00,14,2021-06-22 18:00:00,0.148,18,0.40800000000000003
5463,2021-06-24 16:00:00,12,0.139,2021-06-24 21:00:00,12,0.131,2021-06-24 21:00:00,12,2021-06-24 16:00:00,0.139,12,0.40900000000000003
5493,2021-07-09 12:00:00,14,0.157,2021-07-09 14:00:00,14,0.124,2021-07-09 12:00:00,14,2021-07-09 12:00:00,0.157,14,0.424
5497,2021-07-11 16:00:00,1,0.132,2021-07-11 19:00:00,2,0.13,2021-07-11 17:00:00,4,2021-07-11 18:00:00,0.135,7,0.397
5499,2021-07-12 13:00:00,6,0.151,2021-07-12 18:00:00,3,0.131,2021-07-12 17:00:00,6,2021-07-12 13:00:00,0.151,9,0.426
5526,2021-07-26 00:00:00,2,0.132,2021-07-26 03:00:00,1,0.138,2021-07-26 01:00:00,5,2021-07-26 02:00:00,0.159,8,0.5770000000000001
5528,2021-07-27 00:00:00,8,0.136,2021-07-27 03:00:00,8,0.138,2021-07-27 00:00:00,8,2021-07-27 03:00:00,0.138,8,0.543
5532,2021-07-29 00:00:00,6,0.128,2021-07-29 02:00:00,6,0.124,2021-07-29 00:00:00,6,2021-07-29 01:00:00,0.133,6,0.385
5539,2021-08-01 16:00:00,1,0.127,2021-08-01 19:00:00,3,0.131,2021-08-01 18:00:00,3,2021-08-01 18:00:00,0.146,6,0.543
5546,2021-08-05 02:00:00,1,0.139,2021-08-05 06:00:00,2,0.13,2021-08-05 03:00:00,6,2021-08-05 04:00:00,0.14,10,0.541
5548,2021-08-06 00:00:00,2,0.141,2021-08-06 05:00:00,2,0.133,2021-08-06 00:00:00,2,2021-08-06 02:00:00,0.143,10,0.8380000000000001
5570,2021-08-17 00:00:00,5,0.168,2021-08-17 01:00:00,5,0.148,2021-08-17 00:00:00,5,2021-08-17 00:00:00,0.168,5,0.316
5582,2021-08-23 05:00:00,8,0.137,2021-08-23 08:00:00,1,0.143,2021-08-23 05:00:00,8,2021-08-23 06:00:00,0.17,18,0.6080000000000001
5598,2021-08-31 00:00:00,5,0.137,2021-08-31 08:00:00,5,0.147,2021-08-31 00:00:00,5,2021-08-31 08:00:00,0.147,26,0.28400000000000003
5599,2021-08-31 12:00:00,5,0.138,2021-08-31 14:00:00,5,0.125,2021-08-31 12:00:00,5,2021-08-31 12:00:00,0.138,5,0.4
5725,2021-11-02 15:00:00,2,0.143,2021-11-02 19:00:00,1,0.148,2021-11-02 16:00:00,3,2021-11-02 18:00:00,0.159,12,0.6
5938,2022-02-17 06:00:00,2,0.125,2022-02-17 09:00:00,7,0.128,2022-02-17 08:00:00,7,2022-02-17 08:00:00,0.136,9,0.512
6093,2022-05-05 19:00:00,3,0.135,2022-05-05 21:00:00,2,0.131,2022-05-05 19:00:00,3,2022-05-05 20:00:00,0.143,5,0.40900000000000003
7105,2023-09-23 12:00:00,3,0.125,2023-09-23 15:00:00,4,0.123,2023-09-23 13:00:00,4,2023-09-23 13:00:00,0.141,7,0.389
