window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
3513,2018-10-23 12:00:00,2,0.098,2018-10-23 15:00:00,1,0.102,2018-10-23 12:00:00,2,2018-10-23 14:00:00,0.108,5,0.40549999999999997
3524,2018-10-29 00:00:00,2,0.102,2018-10-29 04:00:00,2,0.0987,2018-10-29 00:00:00,2,2018-10-29 01:00:00,0.11,7,0.5186999999999999
3604,2018-12-08 00:00:00,2,0.109,2018-12-08 01:00:00,1,0.0997,2018-12-08 00:00:00,2,2018-12-08 00:00:00,0.109,3,0.2087
3887,2019-04-28 12:00:00,1,0.101,2019-04-28 15:00:00,3,0.102,2019-04-28 14:00:00,3,2019-04-28 14:00:00,0.108,5,0.411
3889,2019-04-29 16:00:00,8,0.102,2019-04-29 18:00:00,2,0.0994,2019-04-29 16:00:00,8,2019-04-29 17:00:00,0.105,10,0.3064
3926,2019-05-18 05:00:00,3,0.0944,2019-05-18 07:00:00,6,0.0948,2019-05-18 06:00:00,6,2019-05-18 06:00:00,0.104,9,0.2932
3933,2019-05-21 17:00:00,5,0.105,2019-05-21 19:00:00,5,0.0973,2019-05-21 17:00:00,5,2019-05-21 18:00:00,0.105,10,0.20229999999999998
3947,2019-05-28 12:00:00,3,0.109,2019-05-28 13:00:00,3,0.0967,2019-05-28 12:00:00,3,2019-05-28 12:00:00,0.109,3,0.2057
4067,2019-07-27 12:00:00,10,0.113,2019-07-27 15:00:00,10,0.0959,2019-07-27 12:00:00,10,2019-07-27 12:00:00,0.113,10,0.41569999999999996
4071,2019-07-29 16:00:00,7,0.11,2019-07-29 18:00:00,7,0.102,2019-07-29 17:00:00,7,2019-07-29 16:00:00,0.11,7,0.319
4090,2019-08-08 00:00:00,1,0.0972,2019-08-08 01:00:00,2,0.102,2019-08-08 01:00:00,2,2019-08-08 01:00:00,0.102,3,0.1992
4116,2019-08-21 00:00:00,18,0.135,2019-08-21 02:00:00,18,0.102,2019-08-21 00:00:00,18,2019-08-21 00:00:00,0.135,18,0.358
4155,2019-09-09 14:00:00,18,0.111,2019-09-09 16:00:00,18,0.107,2019-09-09 14:00:00,18,2019-09-09 15:00:00,0.123,18,0.34099999999999997
4188,2019-09-26 07:00:00,5,0.121,2019-09-26 08:00:00,2,0.145,2019-09-26 07:00:00,5,2019-09-26 08:00:00,0.145,7,0.266
4192,2019-09-28 00:00:00,4,0.119,2019-09-28 02:00:00,1,0.1,2019-09-28 00:00:00,4,2019-09-28 00:00:00,0.119,5,0.33699999999999997
4366,2019-12-24 00:00:00,2,0.102,2019-12-24 02:00:00,1,0.0959,2019-12-24 00:00:00,2,2019-12-24 01:00:00,0.103,3,0.3009
4442,2020-01-31 04:00:00,2,0.103,2020-01-31 08:00:00,1,0.0969,2020-01-31 04:00:00,2,2020-01-31 06:00:00,0.111,3,0.4149
4493,2020-02-25 17:00:00,1,0.0968,2020-02-25 20:00:00,2,0.0926,2020-02-25 18:00:00,2,2020-02-25 19:00:00,0.102,3,0.2914
4621,2020-04-29 18:00:00,1,0.0979,2020-04-29 21:00:00,1,0.0998,2020-04-29 19:00:00,2,2020-04-29 19:00:00,0.109,4,0.4157
4699,2020-06-07 15:00:00,2,0.105,2020-06-07 20:00:00,2,0.105,2020-06-07 15:00:00,2,2020-06-07 20:00:00,0.105,4,0.105
4719,2020-06-17 14:00:00,10,0.0958,2020-06-17 17:00:00,1,0.099,2020-06-17 14:00:00,10,2020-06-17 15:00:00,0.105,12,0.40379999999999994
4733,2020-06-24 16:00:00,4,0.0968,2020-06-24 20:00:00,4,0.102,2020-06-24 16:00:00,4,2020-06-24 19:00:00,0.114,4,0.5053
4737,2020-06-26 14:00:00,5,0.105,2020-06-26 17:00:00,2,0.0939,2020-06-26 14:00:00,5,2020-06-26 15:00:00,0.105,7,0.3009
4743,2020-06-29 12:00:00,5,0.112,2020-06-29 15:00:00,1,0.106,2020-06-29 12:00:00,5,2020-06-29 13:00:00,0.12,11,0.45199999999999996
4765,2020-07-10 17:00:00,14,0.129,2020-07-10 21:00:00,3,0.105,2020-07-10 17:00:00,14,2020-07-10 19:00:00,0.138,31,0.48
4785,2020-07-20 15:00:00,3,0.103,2020-07-20 17:00:00,3,0.0988,2020-07-20 15:00:00,3,2020-07-20 16:00:00,0.107,3,0.30879999999999996
4797,2020-07-26 19:00:00,1,0.0985,2020-07-26 22:00:00,2,0.0979,2020-07-26 20:00:00,2,2020-07-26 21:00:00,0.106,5,0.3024
4841,2020-08-17 15:00:00,14,0.115,2020-08-17 17:00:00,14,0.0987,2020-08-17 15:00:00,14,2020-08-17 16:00:00,0.122,14,0.3357
4851,2020-08-22 17:00:00,1,0.104,2020-08-22 19:00:00,2,0.0998,2020-08-22 18:00:00,2,2020-08-22 18:00:00,0.104,3,0.20379999999999998
4866,2020-08-30 00:00:00,2,0.125,2020-08-30 01:00:00,6,0.125,2020-08-30 01:00:00,6,2020-08-30 01:00:00,0.125,8,0.125
4872,2020-09-02 00:00:00,4,0.0987,2020-09-02 04:00:00,1,0.0974,2020-09-02 00:00:00,4,2020-09-02 01:00:00,0.113,8,0.5271
4922,2020-09-27 00:00:00,3,0.113,2020-09-27 05:00:00,2,0.113,2020-09-27 00:00:00,3,2020-09-27 02:00:00,0.12,12,0.694
5098,2020-12-24 00:00:00,2,0.103,2020-12-24 03:00:00,1,0.0971,2020-12-24 00:00:00,2,2020-12-24 01:00:00,0.106,3,0.4121
5108,2020-12-29 04:00:00,1,0.103,2020-12-29 10:00:00,1,0.104,2020-12-29 05:00:00,2,2020-12-29 07:00:00,0.112,6,0.644
5303,2021-04-05 15:00:00,3,0.0987,2021-04-05 18:00:00,1,0.0953,2021-04-05 15:00:00,3,2021-04-05 16:00:00,0.105,5,0.39699999999999996
5459,2021-06-22 12:00:00,2,0.0988,2021-06-22 16:00:00,4,0.0984,2021-06-22 14:00:00,4,2021-06-22 15:00:00,0.109,7,0.40609999999999996
5462,2021-06-24 05:00:00,12,0.106,2021-06-24 07:00:00,12,0.0988,2021-06-24 05:00:00,12,2021-06-24 06:00:00,0.107,12,0.31179999999999997
5474,2021-06-30 01:00:00,6,0.126,2021-06-30 04:00:00,6,0.0998,2021-06-30 01:00:00,6,2021-06-30 02:00:00,0.126,12,0.3478
5491,2021-07-08 13:00:00,3,0.0981,2021-07-08 15:00:00,3,0.0953,2021-07-08 13:00:00,3,2021-07-08 14:00:00,0.104,3,0.2974
5492,2021-07-09 00:00:00,10,0.118,2021-07-09 02:00:00,10,0.0968,2021-07-09 00:00:00,10,2021-07-09 00:00:00,0.118,10,0.3238
5493,2021-07-09 13:00:00,1,0.105,2021-07-09 17:00:00,1,0.0967,2021-07-09 14:00:00,2,2021-07-09 15:00:00,0.114,6,0.4277
5504,2021-07-15 01:00:00,2,0.0943,2021-07-15 04:00:00,2,0.0949,2021-07-15 01:00:00,2,2021-07-15 02:00:00,0.105,4,0.39209999999999995
5528,2021-07-27 04:00:00,6,0.145,2021-07-27 07:00:00,1,0.105,2021-07-27 05:00:00,17,2021-07-27 05:00:00,0.145,24,0.379
5547,2021-08-05 14:00:00,1,0.101,2021-08-05 18:00:00,1,0.0983,2021-08-05 14:00:00,1,2021-08-05 17:00:00,0.101,1,0.1993
5548,2021-08-06 00:00:00,4,0.109,2021-08-06 07:00:00,1,0.113,2021-08-06 00:00:00,4,2021-08-06 02:00:00,0.119,23,0.6839999999999999
5552,2021-08-08 03:00:00,2,0.104,2021-08-08 04:00:00,2,0.101,2021-08-08 03:00:00,2,2021-08-08 03:00:00,0.104,2,0.20500000000000002
5597,2021-08-30 12:00:00,2,0.105,2021-08-30 20:00:00,4,0.107,2021-08-30 18:00:00,5,2021-08-30 19:00:00,0.117,21,0.764
5599,2021-08-31 13:00:00,5,0.0978,2021-08-31 16:00:00,1,0.0999,2021-08-31 13:00:00,5,2021-08-31 14:00:00,0.107,6,0.40369999999999995
5633,2021-09-17 19:00:00,2,0.105,2021-09-17 21:00:00,2,0.0918,2021-09-17 19:00:00,2,2021-09-17 19:00:00,0.105,2,0.2915
5777,2021-11-28 15:00:00,1,0.106,2021-11-28 19:00:00,1,0.113,2021-11-28 17:00:00,2,2021-11-28 18:00:00,0.125,5,0.46599999999999997
5848,2022-01-03 06:00:00,1,0.095,2022-01-03 09:00:00,1,0.0959,2022-01-03 07:00:00,3,2022-01-03 08:00:00,0.104,5,0.3947
5938,2022-02-17 02:00:00,2,0.0963,2022-02-17 07:00:00,2,0.0947,2022-02-17 04:00:00,2,2022-02-17 05:00:00,0.104,2,0.5801
6071,2022-04-24 18:00:00,3,0.0998,2022-04-24 21:00:00,2,0.0949,2022-04-24 18:00:00,3,2022-04-24 19:00:00,0.107,5,0.40269999999999995
6124,2022-05-21 00:00:00,7,0.101,2022-05-21 04:00:00,7,0.0983,2022-05-21 01:00:00,7,2022-05-21 02:00:00,0.106,7,0.501
6131,2022-05-24 18:00:00,2,0.0951,2022-05-24 21:00:00,1,0.0953,2022-05-24 18:00:00,2,2022-05-24 20:00:00,0.109,5,0.4064
6148,2022-06-02 01:00:00,5,0.0921,2022-06-02 04:00:00,1,0.0933,2022-06-02 02:00:00,5,2022-06-02 03:00:00,0.108,6,0.3994
6152,2022-06-04 08:00:00,1,0.101,2022-06-04 10:00:00,3,0.0997,2022-06-04 09:00:00,3,2022-06-04 09:00:00,0.101,4,0.2007
6157,2022-06-06 17:00:00,6,0.112,2022-06-06 18:00:00,6,0.106,2022-06-06 17:00:00,6,2022-06-06 17:00:00,0.112,6,0.218
6159,2022-06-07 12:00:00,1,0.0952,2022-06-07 12:00:00,1,0.0952,2022-06-07 12:00:00,1,2022-06-07 12:00:00,0.0952,1,0.0952
6162,2022-06-09 04:00:00,4,0.0987,2022-06-09 06:00:00,1,0.0948,2022-06-09 04:00:00,4,2022-06-09 05:00:00,0.111,5,0.3045
6163,2022-06-09 18:00:00,7,0.102,2022-06-09 20:00:00,2,0.0999,2022-06-09 18:00:00,7,2022-06-09 19:00:00,0.11,9,0.3119
6171,2022-06-13 12:00:00,6,0.108,2022-06-13 14:00:00,2,0.0971,2022-06-13 12:00:00,6,2022-06-13 12:00:00,0.108,8,0.3091
6177,2022-06-16 14:00:00,2,0.0985,2022-06-16 16:00:00,2,0.0889,2022-06-16 14:00:00,2,2022-06-16 15:00:00,0.0985,4,0.1874
6214,2022-07-05 00:00:00,2,0.107,2022-07-05 02:00:00,7,0.0988,2022-07-05 01:00:00,7,2022-07-05 01:00:00,0.107,9,0.20579999999999998
6215,2022-07-05 12:00:00,2,0.0982,2022-07-05 15:00:00,1,0.0934,2022-07-05 12:00:00,2,2022-07-05 13:00:00,0.102,3,0.3916
6251,2022-07-23 13:00:00,4,0.0994,2022-07-23 15:00:00,1,0.107,2022-07-23 13:00:00,4,2022-07-23 14:00:00,0.112,5,0.3184
6266,2022-07-31 00:00:00,4,0.112,2022-07-31 08:00:00,1,0.116,2022-07-31 01:00:00,12,2022-07-31 02:00:00,0.129,49,0.959
6278,2022-08-06 05:00:00,4,0.113,2022-08-06 10:00:00,2,0.107,2022-08-06 08:00:00,5,2022-08-06 08:00:00,0.128,19,0.596
6306,2022-08-20 00:00:00,1,0.113,2022-08-20 03:00:00,2,0.0978,2022-08-20 01:00:00,2,2022-08-20 02:00:00,0.115,3,0.3258
6307,2022-08-20 19:00:00,7,0.0973,2022-08-20 22:00:00,7,0.0994,2022-08-20 19:00:00,7,2022-08-20 20:00:00,0.12,14,0.4337
6309,2022-08-21 16:00:00,3,0.112,2022-08-21 18:00:00,7,0.0997,2022-08-21 17:00:00,7,2022-08-21 17:00:00,0.112,10,0.2117
6323,2022-08-28 15:00:00,2,0.116,2022-08-28 18:00:00,1,0.1,2022-08-28 16:00:00,11,2022-08-28 16:00:00,0.116,14,0.327
6345,2022-09-08 18:00:00,3,0.108,2022-09-08 21:00:00,1,0.108,2022-09-08 19:00:00,7,2022-09-08 20:00:00,0.138,11,0.489
6348,2022-09-10 06:00:00,3,0.118,2022-09-10 09:00:00,1,0.1,2022-09-10 07:00:00,4,2022-09-10 07:00:00,0.118,8,0.33299999999999996
6349,2022-09-10 16:00:00,2,0.113,2022-09-10 17:00:00,2,0.105,2022-09-10 16:00:00,2,2022-09-10 16:00:00,0.113,2,0.218
6358,2022-09-15 00:00:00,2,0.0999,2022-09-15 05:00:00,1,0.096,2022-09-15 00:00:00,2,2022-09-15 01:00:00,0.106,3,0.6119
6383,2022-09-27 16:00:00,4,0.139,2022-09-27 19:00:00,1,0.125,2022-09-27 16:00:00,4,2022-09-27 18:00:00,0.143,10,0.40700000000000003
6558,2022-12-24 01:00:00,1,0.0987,2022-12-24 06:00:00,2,0.0966,2022-12-24 03:00:00,2,2022-12-24 03:00:00,0.108,4,0.6047
6564,2022-12-27 00:00:00,3,0.098,2022-12-27 03:00:00,1,0.0965,2022-12-27 00:00:00,3,2022-12-27 02:00:00,0.0984,7,0.29290000000000005
6582,2023-01-05 01:00:00,2,0.0974,2023-01-05 04:00:00,1,0.0975,2023-01-05 02:00:00,2,2023-01-05 03:00:00,0.108,3,0.40390000000000004
6682,2023-02-24 03:00:00,1,0.105,2023-02-24 09:00:00,1,0.105,2023-02-24 05:00:00,2,2023-02-24 06:00:00,0.12,5,0.6579999999999999
6712,2023-03-11 04:00:00,1,0.106,2023-03-11 07:00:00,1,0.104,2023-03-11 05:00:00,2,2023-03-11 06:00:00,0.109,4,0.319
6739,2023-03-24 16:00:00,2,0.106,2023-03-24 17:00:00,2,0.104,2023-03-24 16:00:00,2,2023-03-24 16:00:00,0.106,2,0.21
6753,2023-03-31 18:00:00,2,0.095,2023-03-31 21:00:00,5,0.0923,2023-03-31 19:00:00,5,2023-03-31 19:00:00,0.101,7,0.38930000000000003
6783,2023-04-15 12:00:00,2,0.103,2023-04-15 14:00:00,2,0.0927,2023-04-15 12:00:00,2,2023-04-15 12:00:00,0.103,2,0.2889
6990,2023-07-28 04:00:00,2,0.118,2023-07-28 06:00:00,1,0.106,2023-07-28 04:00:00,2,2023-07-28 05:00:00,0.118,3,0.22399999999999998
6993,2023-07-29 19:00:00,5,0.116,2023-07-29 22:00:00,8,0.0957,2023-07-29 20:00:00,8,2023-07-29 20:00:00,0.116,13,0.3177
7033,2023-08-18 12:00:00,13,0.118,2023-08-18 15:00:00,1,0.0997,2023-08-18 12:00:00,13,2023-08-18 13:00:00,0.121,15,0.4517
7038,2023-08-21 05:00:00,7,0.101,2023-08-21 07:00:00,7,0.0994,2023-08-21 05:00:00,7,2023-08-21 06:00:00,0.117,14,0.3174
7085,2023-09-13 16:00:00,2,0.111,2023-09-13 20:00:00,1,0.0962,2023-09-13 16:00:00,2,2023-09-13 16:00:00,0.111,3,0.4111
